rank,mode,lower_value,upper_value,value,bfi,output_q16,normalized_output,delta_q16_from_prev
0,fill8,0,0,0,0,0,0.0,0
1,blend8,0,1,1,4,30,0.00045777065690089265,30
2,blend8,0,1,1,3,60,0.0009155413138017853,30
3,blend8,0,2,2,4,84,0.0012817578393224994,24
4,blend8,0,1,1,2,91,0.0013885709925993744,7
5,blend8,0,1,1,1,121,0.001846341649500267,30
6,blend8,0,3,3,4,137,0.0020904859998474097,16
7,fill8,0,1,1,0,154,0.002349889372091249,17
8,blend8,0,2,2,3,168,0.002563515678644999,14
9,blend8,0,4,4,4,190,0.0028992141603723202,22
10,blend8,1,2,2,4,205,0.0031280994888227666,15
11,blend8,0,5,5,4,243,0.0037079423208972303,38
12,blend8,0,2,2,2,252,0.0038452735179674985,9
13,blend8,1,3,3,4,258,0.003936827649347677,6
14,blend8,1,2,2,3,259,0.003952086671244373,1
15,blend8,0,3,3,3,274,0.0041809719996948195,15
16,blend8,0,6,6,4,296,0.004516670481422141,22
17,blend8,1,4,4,4,311,0.004745555809872587,15
18,blend8,1,2,2,2,313,0.00477607385366598,2
19,blend8,0,2,2,1,335,0.005111772335393301,22
20,blend8,0,7,7,4,348,0.005310139620050355,13
21,blend8,1,5,5,4,364,0.005554283970397498,16
22,blend8,1,3,3,3,365,0.005569542992294194,1
23,blend8,1,2,2,1,366,0.0055848020141908905,1
24,blend8,0,4,4,3,380,0.0057984283207446405,14
25,blend8,0,8,8,4,402,0.0061341268024719614,22
26,blend8,0,3,3,2,410,0.006256198977645533,8
27,blend8,1,6,6,4,417,0.006363012130922408,7
28,fill8,0,2,2,0,431,0.006576638437476158,14
29,blend8,0,9,9,4,454,0.006927595941100175,23
30,blend8,1,7,7,4,469,0.0071564812695506215,15
31,blend8,1,4,4,3,471,0.007186999313344014,2
32,blend8,1,3,3,2,472,0.0072022583352407115,1
33,blend8,2,3,3,4,474,0.007232776379034104,2
34,blend8,0,5,5,3,486,0.007415884641794461,12
35,blend8,0,10,10,4,506,0.00772106507972839,20
36,blend8,1,8,8,4,522,0.007965209430075532,16
37,blend8,2,3,3,3,527,0.008041504539559013,5
38,blend8,0,3,3,1,547,0.008346684977492943,20
39,blend8,0,11,11,4,559,0.008529793240253299,12
40,blend8,0,4,4,2,571,0.008712901503013657,12
41,blend8,1,9,9,4,575,0.008773937590600443,4
42,blend8,1,5,5,3,577,0.008804455634393835,2
43,blend8,1,3,3,1,578,0.008819714656290532,1
44,blend8,2,3,3,2,580,0.008850232700083924,2
45,blend8,2,5,5,4,581,0.00886549172198062,1
46,blend8,0,6,6,3,592,0.009033340962844283,11
47,blend8,0,12,12,4,611,0.009323262378881514,19
48,blend8,1,10,10,4,626,0.00955214770733196,15
49,blend8,1,4,4,2,631,0.009628442816815443,5
50,blend8,2,3,3,1,633,0.009658960860608835,2
51,blend8,2,4,4,3,634,0.009674219882505532,1
52,blend8,0,13,13,4,665,0.01014724956130312,31
53,blend8,1,11,11,4,678,0.010345616845960174,13
54,blend8,1,6,6,3,684,0.010437170977340352,6
55,blend8,2,7,7,4,686,0.010467689021133745,2
56,blend8,0,7,7,3,698,0.010650797283894103,12
57,fill8,0,3,3,0,703,0.010727092393377585,5
58,blend8,0,14,14,4,717,0.010940718699931334,14
59,blend8,0,5,5,2,729,0.011123826962691692,12
60,blend8,1,12,12,4,730,0.011139085984588388,1
61,blend8,2,5,5,3,740,0.011291676203555352,10
62,blend8,2,4,4,2,741,0.011306935225452048,1
63,blend8,3,4,4,4,742,0.011322194247348745,1
64,blend8,0,4,4,1,760,0.011596856641489281,18
65,blend8,0,15,15,4,769,0.011734187838559548,9
66,blend8,1,13,13,4,784,0.011963073167009996,15
67,blend8,1,7,7,3,788,0.012024109254596781,4
68,blend8,1,5,5,2,790,0.012054627298390174,2
69,blend8,1,4,4,1,792,0.012085145342183566,2
70,blend8,3,4,4,3,796,0.012146181429770352,4
71,blend8,0,8,8,3,803,0.012252994583047227,7
72,blend8,0,16,16,4,820,0.012512397955291066,17
73,blend8,1,14,14,4,834,0.012726024261844816,14
74,blend8,2,10,10,4,846,0.012909132524605172,12
75,blend8,2,4,4,1,847,0.012924391546501868,1
76,blend8,3,4,4,2,850,0.01297016861219196,3
77,blend8,0,17,17,4,872,0.01330586709391928,22
78,blend8,1,15,15,4,887,0.013534752422369727,15
79,blend8,0,6,6,2,888,0.013550011444266423,1
80,blend8,1,8,8,3,895,0.013656824597543298,7
81,blend8,2,11,11,4,898,0.013702601663233387,3
82,blend8,2,5,5,2,899,0.013717860685130083,1
83,blend8,3,7,7,4,901,0.013748378728923476,2
84,blend8,3,4,4,1,903,0.013778896772716868,2
85,blend8,0,9,9,3,910,0.013885709925993743,7
86,blend8,0,18,18,4,924,0.014099336232547494,14
87,blend8,1,16,16,4,939,0.01432822156099794,15
88,blend8,1,6,6,2,949,0.014480811779964905,10
89,blend8,2,12,12,4,950,0.014496070801861601,1
90,blend8,2,7,7,3,953,0.01454184786755169,3
91,blend8,3,8,8,4,956,0.01458762493324178,3
92,blend8,0,5,5,1,971,0.014816510261692225,15
93,fill8,0,4,4,0,976,0.014892805371175709,5
94,blend8,1,17,17,4,990,0.015106431677729458,14
95,blend8,1,9,9,3,1001,0.015274280918593118,11
96,blend8,1,5,5,1,1003,0.01530479896238651,2
97,blend8,2,13,13,4,1004,0.015320057984283207,1
98,blend8,3,9,9,4,1008,0.015381094071869994,4
99,blend8,3,5,5,2,1010,0.015411612115663387,2
100,blend8,4,5,5,4,1011,0.015426871137560083,1
101,blend8,0,10,10,3,1017,0.015518425268940261,6
102,blend8,0,20,20,4,1028,0.01568627450980392,11
103,blend8,0,7,7,2,1044,0.015930418860151063,16
104,blend8,1,18,18,4,1045,0.01594567788204776,1
105,blend8,2,14,14,4,1056,0.016113527122911423,11
106,blend8,2,5,5,1,1059,0.016159304188601512,3
107,blend8,2,8,8,3,1060,0.01617456321049821,1
108,blend8,2,6,6,2,1061,0.016189822232394905,1
109,blend8,3,10,10,4,1062,0.0162050812542916,1
110,blend8,4,5,5,3,1064,0.016235599298084994,2
111,blend8,4,6,6,4,1065,0.01625085831998169,1
112,blend8,0,21,21,4,1082,0.01651026169222553,17
113,blend8,1,19,19,4,1093,0.01667811093308919,11
114,blend8,1,10,10,3,1105,0.016861219195849545,12
115,blend8,2,15,15,4,1106,0.01687647821774624,1
116,blend8,1,7,7,2,1107,0.016891737239642938,1
117,blend8,3,11,11,4,1116,0.017029068436713205,9
118,blend8,3,5,5,1,1117,0.0170443274586099,1
119,blend8,4,5,5,2,1118,0.017059586480506598,1
120,blend8,4,7,7,4,1119,0.017074845502403294,1
121,blend8,0,11,11,3,1121,0.01710536354619669,2
122,blend8,0,22,22,4,1133,0.017288471808957047,12
123,blend8,1,20,20,4,1143,0.01744106202792401,10
124,blend8,2,9,9,3,1164,0.017761501487754634,21
125,blend8,3,12,12,4,1168,0.01782253757534142,4
126,blend8,4,5,5,1,1171,0.01786831464103151,3
127,blend8,4,6,6,3,1172,0.017883573662928205,1
128,blend8,0,6,6,1,1182,0.01803616388189517,10
129,blend8,0,23,23,4,1187,0.018112458991378654,5
130,blend8,1,21,21,4,1199,0.01829556725413901,12
131,blend8,0,8,8,2,1205,0.01838712138551919,6
132,blend8,1,11,11,3,1208,0.018432898451209278,3
133,blend8,2,17,17,4,1211,0.018478675516899367,3
134,blend8,1,6,6,1,1213,0.01850919356069276,2
135,blend8,2,7,7,2,1219,0.018600747692072938,6
136,blend8,3,13,13,4,1223,0.018661783779659723,4
137,blend8,3,8,8,3,1224,0.01867704280155642,1
138,blend8,4,9,9,4,1225,0.018692301823453116,1
139,blend8,0,12,12,3,1228,0.018738078889143205,3
140,blend8,0,24,24,4,1235,0.01884489204242008,7
141,fill8,0,5,5,0,1247,0.019028000305180436,12
142,blend8,1,22,22,4,1250,0.01907377737087053,3
143,blend8,2,18,18,4,1262,0.019256885633630885,12
144,blend8,1,8,8,2,1263,0.01927214465552758,1
145,blend8,2,6,6,1,1273,0.019424734874494545,10
146,blend8,4,6,6,2,1279,0.019516289005874723,6
147,blend8,3,14,14,4,1281,0.019546807049668116,2
148,blend8,0,25,25,4,1297,0.019790951400015258,16
149,blend8,1,23,23,4,1299,0.01982146944380865,2
150,blend8,1,12,12,3,1317,0.02009613183794919,18
151,blend8,2,19,19,4,1319,0.02012664988174258,2
152,blend8,3,15,15,4,1326,0.020233463035019456,7
153,blend8,3,9,9,3,1329,0.020279240100709545,3
154,blend8,3,7,7,2,1330,0.02029449912260624,1
155,blend8,3,6,6,1,1331,0.020309758144502938,1
156,blend8,0,13,13,3,1332,0.020325017166399634,1
157,blend8,5,6,6,3,1334,0.020355535210193027,2
158,blend8,5,7,7,4,1335,0.020370794232089724,1
159,blend8,0,26,26,4,1337,0.020401312275883116,2
160,blend8,1,24,24,4,1353,0.020645456626230258,16
161,blend8,0,9,9,2,1363,0.020798046845197222,10
162,blend8,2,20,20,4,1371,0.020920119020370793,8
163,blend8,2,11,11,3,1375,0.020981155107957578,4
164,blend8,2,8,8,2,1380,0.021057450217441064,5
165,blend8,4,12,12,4,1384,0.02111848630502785,4
166,blend8,4,6,6,1,1386,0.021149004348821242,2
167,blend8,4,8,8,3,1387,0.021164263370717938,1
168,blend8,5,6,6,2,1388,0.021179522392614634,1
169,blend8,0,27,27,4,1389,0.02119478141451133,1
170,blend8,0,7,7,1,1396,0.021301594567788205,7
171,blend8,1,25,25,4,1406,0.02145418478675517,10
172,blend8,1,13,13,3,1420,0.021667811093308918,14
173,blend8,2,21,21,4,1423,0.021713588158999007,3
174,blend8,1,9,9,2,1425,0.0217441062027924,2
175,blend8,1,7,7,1,1427,0.021774624246585793,2
176,blend8,3,17,17,4,1435,0.021896696421759364,8
177,blend8,3,10,10,3,1437,0.021927214465552756,2
178,blend8,0,28,28,4,1438,0.021942473487449453,1
179,blend8,4,7,7,2,1439,0.02195773250934615,1
180,blend8,5,6,6,1,1441,0.021988250553139545,2
181,blend8,5,7,7,3,1442,0.022003509575036242,1
182,blend8,1,26,26,4,1455,0.022201876859693295,13
183,blend8,2,22,22,4,1473,0.02247653925383383,18
184,blend8,2,12,12,3,1482,0.022613870450904097,9
185,blend8,2,7,7,1,1484,0.02264438849469749,2
186,blend8,3,18,18,4,1487,0.02269016556038758,3
187,blend8,0,29,29,4,1489,0.02272068360418097,2
188,blend8,4,14,14,4,1490,0.022735942626077667,1
189,blend8,3,8,8,2,1491,0.022751201647974364,1
190,blend8,4,9,9,3,1493,0.022781719691767757,2
191,blend8,5,10,10,4,1496,0.022827496757457846,3
192,blend8,1,27,27,4,1508,0.023010605020218206,12
193,fill8,0,6,6,0,1519,0.023178454261081866,11
194,blend8,0,10,10,2,1521,0.02320897230487526,2
195,blend8,1,14,14,3,1522,0.023224231326771955,1
196,blend8,2,9,9,2,1535,0.023422598611429007,13
197,blend8,0,15,15,3,1542,0.023529411764705882,7
198,blend8,3,19,19,4,1543,0.02354467078660258,1
199,blend8,3,7,7,1,1545,0.02357518883039597,2
200,blend8,4,15,15,4,1547,0.023605706874189364,2
201,blend8,5,11,11,4,1548,0.02362096589608606,1
202,blend8,5,7,7,2,1549,0.023636224917982757,1
203,blend8,5,8,8,3,1550,0.023651483939879453,1
204,blend8,1,28,28,4,1559,0.02378881513694972,9
205,blend8,2,24,24,4,1579,0.02409399557488365,20
206,blend8,1,10,10,2,1581,0.024124513618677044,2
207,blend8,2,13,13,3,1589,0.024246585793850615,8
208,blend8,3,20,20,4,1591,0.024277103837644008,2
209,blend8,0,31,31,4,1592,0.024292362859540704,1
210,blend8,4,10,10,3,1599,0.02439917601281758,7
211,blend8,4,7,7,1,1600,0.024414435034714275,1
212,blend8,6,7,7,3,1604,0.02447547112230106,4
213,blend8,4,16,16,4,1605,0.024490730144197757,1
214,blend8,1,29,29,4,1606,0.024505989166094453,1
215,blend8,0,8,8,1,1607,0.02452124818799115,1
216,blend8,1,15,15,3,1628,0.024841687647821773,21
217,blend8,2,25,25,4,1633,0.02491798275730526,5
218,blend8,1,8,8,1,1638,0.02499427786678874,5
219,blend8,0,16,16,3,1647,0.025131609063859008,9
220,blend8,3,9,9,2,1652,0.02520790417334249,5
221,blend8,4,17,17,4,1653,0.025223163195239186,1
222,blend8,0,32,32,4,1654,0.025238422217135882,1
223,blend8,5,7,7,1,1657,0.02528419928282597,3
224,blend8,5,9,9,3,1658,0.025299458304722668,1
225,blend8,1,30,30,4,1666,0.02542153047989624,8
226,blend8,0,11,11,2,1683,0.025680933852140077,17
227,blend8,2,26,26,4,1685,0.02571145189593347,2
228,blend8,2,14,14,3,1695,0.025864042114900433,10
229,blend8,2,10,10,2,1696,0.025879301136797133,1
230,blend8,2,8,8,1,1698,0.025909819180590526,2
231,blend8,0,33,33,4,1703,0.025986114290074008,5
232,blend8,3,22,22,4,1704,0.026001373311970704,1
233,blend8,4,18,18,4,1707,0.026047150377660793,3
234,blend8,4,11,11,3,1708,0.02606240939955749,1
235,blend8,6,7,7,1,1710,0.026092927443350882,2
236,blend8,5,8,8,2,1712,0.026123445487144275,2
237,blend8,6,10,10,4,1713,0.02613870450904097,1
238,blend8,5,14,14,4,1714,0.026153963530937668,1
239,blend8,1,31,31,4,1722,0.02627603570611124,8
240,blend8,1,11,11,2,1733,0.0264438849469749,11
241,blend8,1,16,16,3,1734,0.026459143968871595,1
242,blend8,2,27,27,4,1741,0.02656595712214847,7
243,blend8,3,23,23,4,1754,0.026764324406805522,13
244,blend8,3,13,13,3,1756,0.026794842450598915,2
245,blend8,3,8,8,1,1758,0.026825360494392308,2
246,blend8,4,9,9,2,1760,0.026855878538185704,2
247,blend8,0,34,34,4,1761,0.0268711375600824,1
248,blend8,5,15,15,4,1766,0.026947432669565882,5
249,blend8,5,10,10,3,1767,0.02696269169146258,1
250,blend8,4,19,19,4,1768,0.026977950713359275,1
251,blend8,1,32,32,4,1775,0.02708476386663615,7
252,blend8,2,28,28,4,1789,0.0272983901731899,14
253,fill8,0,7,7,0,1792,0.027344167238879988,3
254,blend8,2,15,15,3,1799,0.027450980392156862,7
255,blend8,3,24,24,4,1809,0.027603570611123826,10
256,blend8,0,35,35,4,1811,0.02763408865491722,2
257,blend8,4,12,12,3,1813,0.02766460669871061,2
258,blend8,3,10,10,2,1814,0.027679865720607308,1
259,blend8,4,8,8,1,1816,0.0277103837644007,2
260,blend8,0,9,9,1,1819,0.02775616083009079,3
261,blend8,6,8,8,2,1820,0.027771419851987486,1
262,blend8,1,33,33,4,1825,0.02784771496147097,5
263,blend8,0,12,12,2,1832,0.027954528114747846,7
264,blend8,2,29,29,4,1836,0.02801556420233463,4
265,blend8,1,17,17,3,1842,0.02810711833371481,6
266,blend8,1,9,9,1,1851,0.028244449530785077,9
267,blend8,0,36,36,4,1852,0.028259708552681773,1
268,blend8,0,18,18,3,1854,0.028290226596475166,2
269,blend8,2,11,11,2,1856,0.02832074464026856,2
270,blend8,3,25,25,4,1858,0.02835126268406195,2
271,blend8,3,14,14,3,1864,0.02844281681544213,6
272,blend8,4,21,21,4,1866,0.028473334859235522,2
273,blend8,7,8,8,3,1867,0.02848859388113222,1
274,blend8,7,9,9,4,1868,0.028503852903028915,1
275,blend8,5,17,17,4,1869,0.02851911192492561,1
276,blend8,5,9,9,2,1871,0.028549629968719004,2
277,blend8,5,11,11,3,1872,0.0285648889906157,1
278,blend8,5,8,8,1,1873,0.028580148012512397,1
279,blend8,1,34,34,4,1877,0.028641184100099183,4
280,blend8,2,30,30,4,1882,0.028717479209582664,5
281,blend8,1,12,12,2,1900,0.028992141603723202,18
282,blend8,0,37,37,4,1904,0.029053177691309988,4
283,blend8,3,26,26,4,1906,0.02908369573510338,2
284,blend8,4,22,22,4,1910,0.029144731822690166,4
285,blend8,2,9,9,1,1911,0.029159990844586862,1
286,blend8,2,16,16,3,1912,0.02917524986648356,1
287,blend8,4,10,10,2,1921,0.029312581063553826,9
288,blend8,7,8,8,2,1922,0.029327840085450523,1
289,blend8,7,10,10,4,1924,0.029358358129243915,2
290,blend8,6,8,8,1,1926,0.029388876173037308,2
291,blend8,1,35,35,4,1927,0.029404135194934004,1
292,blend8,6,14,14,4,1929,0.029434653238727397,2
293,blend8,2,31,31,4,1941,0.029617761501487753,12
294,blend8,0,38,38,4,1949,0.029739833676661324,8
295,blend8,1,18,18,3,1950,0.02975509269855802,1
296,blend8,0,19,19,3,1957,0.0298619058518349,7
297,blend8,3,15,15,3,1965,0.02998397802700847,8
298,blend8,1,36,36,4,1967,0.030014496070801863,2
299,blend8,3,11,11,2,1969,0.030045014114595255,2
300,blend8,3,27,27,4,1972,0.030090791180285344,3
301,blend8,3,9,9,1,1973,0.03010605020218204,1
302,blend8,7,8,8,1,1975,0.030136568245975433,2
303,blend8,7,9,9,3,1976,0.03015182726787213,1
304,blend8,7,11,11,4,1978,0.030182345311665523,2
305,blend8,6,9,9,2,1980,0.030212863355458915,2
306,blend8,5,12,12,3,1981,0.03022812237735561,1
307,blend8,3,28,28,4,1997,0.030472266727702754,16
308,blend8,0,13,13,2,2002,0.030548561837186235,5
309,blend8,0,39,39,4,2011,0.030685893034256503,9
310,blend8,2,32,32,4,2012,0.0307011520561532,1
311,blend8,2,12,12,2,2015,0.030746929121843288,3
312,blend8,2,17,17,3,2016,0.030762188143739988,1
313,blend8,4,24,24,4,2022,0.030853742275120166,6
314,blend8,4,9,9,1,2027,0.030930037384603648,5
315,blend8,0,10,10,1,2028,0.030945296406500344,1
316,blend8,4,14,14,3,2029,0.03096055542839704,1
317,blend8,6,16,16,4,2031,0.030991073472190434,2
318,blend8,6,11,11,3,2033,0.031021591515983826,2
319,blend8,5,10,10,2,2034,0.031036850537880523,1
320,blend8,2,33,33,4,2047,0.031235217822537575,13
321,blend8,1,19,19,3,2053,0.031326771953917754,6
322,blend8,1,13,13,2,2057,0.03138780804150454,4
323,blend8,1,10,10,1,2058,0.031403067063401235,1
324,blend8,0,40,40,4,2062,0.03146410315098802,4
325,fill8,0,8,8,0,2063,0.03147936217288472,1
326,blend8,3,29,29,4,2064,0.031494621194781414,1
327,blend8,5,21,21,4,2073,0.03163195239185168,9
328,blend8,0,20,20,3,2076,0.03167772945754177,3
329,blend8,3,16,16,3,2077,0.031692988479438466,1
330,blend8,4,11,11,2,2078,0.03170824750133516,1
331,blend8,6,17,17,4,2079,0.03172350652323186,1
332,blend8,7,9,9,2,2080,0.031738765545128556,1
333,blend8,8,9,9,4,2081,0.03175402456702525,1
334,blend8,5,9,9,1,2084,0.03179980163271534,3
335,blend8,0,41,41,4,2111,0.03221179522392614,27
336,blend8,2,18,18,3,2115,0.032272831311512935,4
337,blend8,3,30,30,4,2116,0.03228809033340963,1
338,blend8,2,10,10,1,2123,0.032394903486686506,7
339,blend8,2,34,34,4,2127,0.03245593957427329,4
340,blend8,3,12,12,2,2130,0.03250171663996338,3
341,blend8,4,15,15,3,2134,0.032562752727550166,4
342,blend8,6,18,18,4,2137,0.032608529793240255,3
343,blend8,6,12,12,3,2138,0.03262378881513695,1
344,blend8,6,10,10,2,2140,0.032654306858930345,2
345,blend8,6,9,9,1,2141,0.03266956588082704,1
346,blend8,2,35,35,4,2143,0.032700083924620434,2
347,blend8,0,14,14,2,2149,0.03279163805600061,6
348,blend8,1,20,20,3,2158,0.03292896925307088,9
349,blend8,0,21,21,3,2171,0.03312733653772793,13
350,blend8,2,13,13,2,2173,0.033157854581521325,2
351,blend8,3,17,17,3,2176,0.033203631647211414,3
352,blend8,1,40,40,4,2180,0.0332646677347982,4
353,blend8,7,9,9,1,2188,0.03338673990997177,8
354,blend8,3,10,10,1,2190,0.03341725795376516,2
355,blend8,8,9,9,2,2191,0.03343251697566186,1
356,blend8,7,15,15,4,2192,0.033447775997558556,1
357,blend8,0,42,42,4,2193,0.03346303501945525,1
358,blend8,5,11,11,2,2194,0.03347829404135195,1
359,blend8,6,19,19,4,2195,0.033493553063248645,1
360,blend8,5,14,14,3,2202,0.03360036621652552,7
361,blend8,3,31,31,4,2203,0.033615625238422216,1
362,blend8,1,14,14,2,2212,0.03375295643549248,9
363,blend8,5,23,23,4,2218,0.03384451056687266,6
364,blend8,2,36,36,4,2219,0.03385976958876936,1
365,blend8,2,19,19,3,2226,0.03396658274204623,7
366,blend8,4,28,28,4,2233,0.03407339589532311,7
367,blend8,4,10,10,1,2240,0.03418020904859999,7
368,blend8,0,11,11,1,2242,0.03421072709239338,2
369,blend8,5,24,24,4,2245,0.03425650415808347,3
370,blend8,1,41,41,4,2247,0.03428702220187686,2
371,blend8,8,10,10,3,2248,0.03430228122377356,1
372,blend8,8,12,12,4,2250,0.03433279926756695,2
373,blend8,1,11,11,1,2265,0.0345616845960174,15
374,blend8,2,37,37,4,2271,0.034653238727397576,6
375,blend8,0,22,22,3,2281,0.03480582894636454,10
376,blend8,0,44,44,4,2289,0.03492790112153811,8
377,blend8,3,13,13,2,2291,0.0349584191653315,2
378,blend8,3,18,18,3,2293,0.034988937209124896,2
379,blend8,4,29,29,4,2295,0.03501945525291829,2
380,blend8,7,12,12,3,2297,0.03504997329671168,2
381,blend8,5,15,15,3,2298,0.03506523231860838,1
382,blend8,5,10,10,1,2300,0.03509575036240177,2
383,blend8,6,11,11,2,2301,0.03511100938429847,1
384,blend8,3,33,33,4,2303,0.03514152742809186,2
385,blend8,5,25,25,4,2304,0.035156786449988556,1
386,blend8,1,42,42,4,2308,0.03521782253757534,4
387,blend8,0,15,15,2,2317,0.03535515373464561,9
388,blend8,3,34,34,4,2328,0.03552300297550927,11
389,blend8,2,20,20,3,2330,0.03555352101930266,2
390,blend8,2,11,11,1,2333,0.03559929808499275,3
391,blend8,2,14,14,2,2334,0.03561455710688945,1
392,fill8,0,9,9,0,2337,0.035660334172579536,3
393,blend8,4,30,30,4,2341,0.03572137026016632,4
394,blend8,5,26,26,4,2347,0.0358129243915465,6
395,blend8,6,14,14,3,2349,0.03584344243533989,2
396,blend8,8,10,10,2,2351,0.035873960479133285,2
397,blend8,4,17,17,3,2353,0.03590447852292668,2
398,blend8,7,18,18,4,2354,0.035919737544823374,1
399,blend8,5,12,12,2,2355,0.03593499656672007,1
400,blend8,6,10,10,1,2356,0.03595025558861677,1
401,blend8,2,38,38,4,2367,0.03611810482948043,11
402,blend8,2,39,39,4,2370,0.03616388189517052,3
403,blend8,1,22,22,3,2371,0.03617914091706722,1
404,blend8,1,15,15,2,2373,0.03620965896086061,2
405,blend8,0,45,45,4,2374,0.03622491798275731,1
406,blend8,0,23,23,3,2379,0.03630121309224079,5
407,blend8,3,35,35,4,2382,0.03634699015793088,3
408,blend8,0,46,46,4,2393,0.03651483939879454,11
409,blend8,3,19,19,3,2396,0.03656061646448463,3
410,blend8,3,11,11,1,2399,0.03660639353017472,3
411,blend8,7,10,10,1,2403,0.0366674296177615,4
412,blend8,4,13,13,2,2404,0.0366826886396582,1
413,blend8,7,11,11,2,2405,0.036697947661554896,1
414,blend8,1,44,44,4,2407,0.03672846570534829,2
415,blend8,5,27,27,4,2410,0.03677424277103838,3
416,blend8,6,23,23,4,2412,0.03680476081483177,2
417,blend8,2,40,40,4,2438,0.037201495384145876,26
418,blend8,2,21,21,3,2441,0.037247272449835965,3
419,blend8,3,36,36,4,2447,0.03733882658121614,6
420,blend8,3,14,14,2,2451,0.03739986266880293,4
421,blend8,4,11,11,1,2456,0.03747615777828641,5
422,blend8,5,28,28,4,2457,0.03749141680018311,1
423,blend8,0,12,12,1,2458,0.0375066758220798,1
424,blend8,8,10,10,1,2459,0.0375219348439765,1
425,blend8,6,12,12,2,2464,0.03759822995345998,5
426,blend8,6,15,15,3,2466,0.037628747997253374,2
427,blend8,1,23,23,3,2473,0.03773556115053025,7
428,blend8,1,12,12,1,2480,0.03784237430380712,7
429,blend8,0,16,16,2,2483,0.03788815136949721,3
430,blend8,3,37,37,4,2488,0.037964446478980694,5
431,blend8,1,45,45,4,2490,0.03799496452277409,2
432,blend8,2,15,15,2,2491,0.03801022354467078,1
433,blend8,0,24,24,3,2495,0.03807125963225757,4
434,blend8,3,20,20,3,2506,0.038239108873121236,11
435,blend8,5,29,29,4,2509,0.038284885938811325,3
436,blend8,5,11,11,1,2511,0.03831540398260472,2
437,blend8,9,10,10,1,2512,0.038330663004501414,1
438,blend8,8,11,11,2,2516,0.0383916990920882,4
439,blend8,5,13,13,2,2518,0.03842221713588159,2
440,blend8,2,41,41,4,2528,0.038574807354848556,10
441,blend8,1,16,16,2,2531,0.038620584420538645,3
442,blend8,0,47,47,4,2539,0.038742656595712216,8
443,blend8,2,22,22,3,2542,0.038788433661402305,3
444,blend8,2,12,12,1,2544,0.0388189517051957,2
445,blend8,4,34,34,4,2549,0.03889524681467918,5
446,blend8,3,38,38,4,2551,0.03892576485847257,2
447,blend8,4,19,19,3,2556,0.039002059967956054,5
448,blend8,6,26,26,4,2558,0.03903257801174945,2
449,blend8,2,42,42,4,2561,0.039078355077439536,3
450,blend8,1,47,47,4,2567,0.039169909208819714,6
451,blend8,7,12,12,2,2568,0.03918516823071641,1
452,blend8,4,14,14,2,2569,0.03920042725261311,1
453,blend8,6,11,11,1,2570,0.0392156862745098,1
454,blend8,8,18,18,4,2573,0.03926146334019989,3
455,blend8,8,13,13,3,2575,0.039291981383993285,2
456,blend8,5,30,30,4,2580,0.03936827649347677,5
457,blend8,2,43,43,4,2582,0.03939879453727016,2
458,blend8,1,24,24,3,2583,0.039414053559166856,1
459,blend8,3,39,39,4,2596,0.03961242084382391,13
460,blend8,0,25,25,3,2597,0.039627679865720605,1
461,blend8,3,21,21,3,2606,0.03976501106279087,9
462,fill8,0,10,10,0,2610,0.03982604715037766,4
463,blend8,3,12,12,1,2611,0.039841306172274354,1
464,blend8,3,15,15,2,2612,0.03985656519417105,1
465,blend8,5,31,31,4,2613,0.03987182421606775,1
466,blend8,4,35,35,4,2617,0.03993286030365453,4
467,blend8,7,11,11,1,2620,0.03997863736934462,3
468,blend8,9,11,11,2,2622,0.040009155413138014,2
469,blend8,6,13,13,2,2624,0.040039673456931414,2
470,blend8,8,19,19,4,2631,0.04014648661020829,7
471,blend8,2,44,44,4,2634,0.04019226367589838,3
472,blend8,1,48,48,4,2638,0.04025329976348516,4
473,blend8,0,17,17,2,2642,0.04031433585107195,4
474,blend8,3,40,40,4,2646,0.040375371938658734,4
475,blend8,2,23,23,3,2649,0.04042114900434882,3
476,blend8,10,11,11,3,2657,0.040543221179522394,8
477,blend8,4,20,20,3,2659,0.04057373922331579,2
478,blend8,4,36,36,4,2664,0.04065003433279927,5
479,blend8,0,13,13,1,2665,0.040665293354695965,1
480,blend8,4,12,12,1,2666,0.04068055237659266,1
481,blend8,2,16,16,2,2667,0.04069581139848936,1
482,blend8,7,24,24,4,2672,0.04077210650797284,5
483,blend8,8,11,11,1,2676,0.040833142595559625,4
484,blend8,8,12,12,2,2679,0.040878919661249714,3
485,blend8,5,32,32,4,2683,0.0409399557488365,4
486,blend8,1,25,25,3,2684,0.040955214770733196,1
487,blend8,5,14,14,2,2685,0.04097047379262989,1
488,blend8,1,13,13,1,2692,0.04107728694590677,7
489,blend8,1,49,49,4,2695,0.041123064011596856,3
490,blend8,1,17,17,2,2698,0.041168841077286945,3
491,blend8,0,26,26,3,2707,0.04130617227435721,9
492,blend8,10,11,11,2,2714,0.04141298542763409,7
493,blend8,1,50,50,4,2716,0.04144350347142748,2
494,blend8,10,13,13,4,2718,0.04147402151522087,2
495,blend8,2,45,45,4,2721,0.04151979858091096,3
496,blend8,3,22,22,3,2723,0.041550316624704355,2
497,blend8,9,17,17,4,2726,0.041596093690394444,3
498,blend8,5,12,12,1,2728,0.041626611734187836,2
499,blend8,3,41,41,4,2730,0.04165712977798123,2
500,blend8,5,19,19,3,2731,0.041672388799877925,1
