rank,mode,lower_value,upper_value,value,bfi,output_q16,normalized_output,delta_q16_from_prev
29354,blend8,95,230,230,3,38767,0.5915465018692302,1
29355,blend8,116,156,156,1,38768,0.5915617608911269,1
29356,blend8,95,184,184,2,38769,0.5915770199130236,1
29357,blend8,33,228,228,2,38770,0.5915922789349203,1
29358,blend8,101,220,220,3,38771,0.591607537956817,1
29359,blend8,28,180,180,1,38772,0.5916227969787137,1
29360,blend8,115,198,198,3,38774,0.5916533150225071,2
29361,blend8,28,232,232,2,38776,0.5916838330663005,2
29362,blend8,65,205,205,2,38777,0.5916990920881972,1
29363,blend8,32,228,228,2,38778,0.5917143511100939,1
29364,blend8,50,216,216,2,38779,0.5917296101319905,1
29365,blend8,21,181,181,1,38780,0.5917448691538872,1
29366,blend8,61,171,171,1,38782,0.5917753871976806,2
29367,blend8,9,246,246,2,38783,0.5917906462195773,1
29368,blend8,1,188,188,1,38784,0.591805905241474,1
29369,blend8,91,187,187,2,38785,0.5918211642633707,1
29370,blend8,32,229,229,2,38786,0.5918364232852674,1
29371,blend8,10,184,184,1,38787,0.5918516823071641,1
29372,blend8,87,164,164,1,38788,0.5918669413290608,1
29373,blend8,114,157,157,1,38789,0.5918822003509575,1
29374,blend8,142,152,152,2,38790,0.5918974593728542,1
29375,blend8,5,245,245,2,38791,0.5919127183947509,1
29376,blend8,132,213,213,4,38792,0.5919279774166476,1
29377,blend8,4,186,186,1,38793,0.5919432364385443,1
29378,blend8,57,211,211,2,38794,0.591958495460441,1
29379,blend8,138,190,190,4,38795,0.5919737544823377,1
29380,blend8,39,177,177,1,38796,0.5919890135042344,1
29381,blend8,132,172,172,3,38797,0.5920042725261311,1
29382,blend8,135,157,157,2,38798,0.5920195315480278,1
29383,blend8,7,185,185,1,38799,0.5920347905699245,1
29384,blend8,103,160,160,1,38800,0.5920500495918212,1
29385,blend8,14,183,183,1,38801,0.5920653086137179,1
29386,blend8,107,176,176,2,38802,0.5920805676356146,1
29387,blend8,98,182,182,2,38803,0.5920958266575113,1
29388,blend8,113,157,157,1,38805,0.5921263447013047,2
29389,blend8,123,165,165,2,38806,0.5921416037232013,1
29390,blend8,126,154,154,1,38807,0.592156862745098,1
29391,blend8,65,170,170,1,38808,0.5921721217669947,1
29392,blend8,78,166,166,1,38809,0.5921873807888914,1
29393,blend8,109,208,208,3,38810,0.5922026398107881,1
29394,blend8,86,164,164,1,38811,0.5922178988326848,1
29395,blend8,127,154,154,1,38812,0.5922331578545815,1
29396,blend8,83,165,165,1,38813,0.5922484168764782,1
29397,blend8,13,243,243,2,38815,0.5922789349202716,2
29398,blend8,42,176,176,1,38816,0.5922941939421683,1
29399,blend8,31,230,230,2,38817,0.592309452964065,1
29400,blend8,141,184,184,4,38818,0.5923247119859617,1
29401,blend8,134,152,152,1,38819,0.5923399710078584,1
29402,blend8,38,177,177,1,38820,0.5923552300297551,1
29403,blend8,135,152,152,1,38821,0.5923704890516518,1
29404,blend8,37,226,226,2,38822,0.5923857480735485,1
29405,blend8,143,150,150,1,38823,0.5924010070954452,1
29406,blend8,38,225,225,2,38824,0.5924162661173419,1
29407,blend8,48,174,174,1,38825,0.5924315251392386,1
29408,blend8,67,169,169,1,38826,0.5924467841611353,1
29409,blend8,90,239,239,3,38827,0.592462043183032,1
29410,blend8,110,158,158,1,38828,0.5924773022049287,1
29411,blend8,122,155,155,1,38829,0.5924925612268254,1
29412,blend8,46,175,175,1,38830,0.5925078202487221,1
29413,blend8,26,234,234,2,38831,0.5925230792706188,1
29414,blend8,34,228,228,2,38832,0.5925383382925155,1
29415,blend8,35,178,178,1,38833,0.5925535973144122,1
29416,blend8,118,156,156,1,38834,0.5925688563363088,1
29417,blend8,88,190,190,2,38835,0.5925841153582055,1
29418,blend8,144,151,151,1,38836,0.5925993743801022,1
29419,blend8,131,218,218,4,38837,0.5926146334019989,1
29420,blend8,97,162,162,1,38838,0.5926298924238956,1
29421,blend8,12,184,184,1,38839,0.5926451514457923,1
29422,blend8,22,181,181,1,38841,0.5926756694895857,2
29423,blend8,54,173,173,1,38842,0.5926909285114824,1
29424,blend8,90,188,188,2,38843,0.5927061875333791,1
29425,blend8,103,179,179,2,38844,0.5927214465552758,1
29426,blend8,24,181,181,1,38845,0.5927367055771725,1
29427,blend8,91,237,237,3,38846,0.5927519645990692,1
29428,blend8,7,248,248,2,38847,0.5927672236209659,1
29429,blend8,3,250,250,2,38848,0.5927824826428626,1
29430,blend8,70,202,202,2,38849,0.5927977416647593,1
29431,blend8,41,223,223,2,38850,0.592813000686656,1
29432,blend8,117,156,156,1,38851,0.5928282597085527,1
29433,blend8,9,247,247,2,38852,0.5928435187304494,1
29434,blend8,11,184,184,1,38853,0.5928587777523461,1
29435,blend8,143,156,156,3,38854,0.5928740367742428,1
29436,blend8,2,187,187,1,38855,0.5928892957961395,1
29437,blend8,122,188,188,3,38856,0.5929045548180362,1
29438,blend8,130,176,176,3,38857,0.5929198138399329,1
29439,blend8,126,163,163,2,38858,0.5929350728618296,1
29440,blend8,91,163,163,1,38859,0.5929503318837263,1
29441,blend8,77,167,167,1,38860,0.592965590905623,1
29442,blend8,60,171,171,1,38862,0.5929961089494163,2
29443,blend8,80,196,196,2,38864,0.5930266269932097,2
29444,blend8,69,203,203,2,38865,0.5930418860151064,1
29445,blend8,121,167,167,2,38866,0.5930571450370031,1
29446,blend8,128,179,179,3,38867,0.5930724040588998,1
29447,blend8,64,206,206,2,38868,0.5930876630807965,1
29448,blend8,88,242,242,3,38869,0.5931029221026932,1
29449,blend8,25,181,181,1,38870,0.5931181811245899,1
29450,blend8,62,171,171,1,38871,0.5931334401464866,1
29451,blend8,15,183,183,1,38872,0.5931486991683833,1
29452,blend8,112,200,200,3,38873,0.59316395819028,1
29453,blend8,8,185,185,1,38874,0.5931792172121767,1
29454,blend8,58,211,211,2,38875,0.5931944762340734,1
29455,blend8,141,160,160,3,38876,0.5932097352559701,1
29456,blend8,33,179,179,1,38877,0.5932249942778668,1
29457,blend8,41,177,177,1,38878,0.5932402532997635,1
29458,fill8,0,148,148,0,38879,0.5932555123216602,1
29459,blend8,137,152,152,1,38880,0.5932707713435569,1
29460,blend8,15,242,242,2,38881,0.5932860303654536,1
29461,blend8,86,191,191,2,38882,0.5933012893873503,1
29462,blend8,144,153,153,2,38883,0.593316548409247,1
29463,blend8,20,182,182,1,38884,0.5933318074311437,1
29464,blend8,85,192,192,2,38885,0.5933470664530404,1
29465,blend8,5,186,186,1,38886,0.5933623254749371,1
29466,blend8,105,178,178,2,38887,0.5933775844968338,1
29467,blend8,70,169,169,1,38889,0.5934081025406271,2
29468,blend8,11,245,245,2,38890,0.5934233615625238,1
29469,blend8,131,153,153,1,38891,0.5934386205844205,1
29470,blend8,31,179,179,1,38892,0.5934538796063172,1
29471,blend8,84,165,165,1,38893,0.5934691386282139,1
29472,blend8,45,176,176,1,38894,0.5934843976501106,1
29473,blend8,105,160,160,1,38895,0.5934996566720073,1
29474,blend8,23,181,181,1,38896,0.593514915693904,1
29475,blend8,51,174,174,1,38897,0.5935301747158007,1
29476,blend8,116,170,170,2,38898,0.5935454337376974,1
29477,blend8,5,250,250,2,38899,0.5935606927595941,1
29478,blend8,115,171,171,2,38900,0.5935759517814908,1
29479,blend8,139,155,155,2,38901,0.5935912108033875,1
29480,blend8,74,168,168,1,38902,0.5936064698252842,1
29481,blend8,121,156,156,1,38903,0.5936217288471809,1
29482,blend8,95,185,185,2,38904,0.5936369878690776,1
29483,blend8,98,183,183,2,38905,0.5936522468909743,1
29484,blend8,145,155,155,3,38906,0.593667505912871,1
29485,blend8,88,164,164,1,38907,0.5936827649347677,1
29486,blend8,66,170,170,1,38908,0.5936980239566644,1
29487,blend8,124,249,249,4,38909,0.5937132829785611,1
29488,blend8,21,238,238,2,38910,0.5937285420004578,1
29489,blend8,125,155,155,1,38911,0.5937438010223545,1
29490,blend8,18,240,240,2,38912,0.5937590600442512,1
29491,blend8,146,159,159,4,38913,0.5937743190661479,1
29492,blend8,102,180,180,2,38914,0.5937895780880446,1
29493,blend8,137,199,199,4,38915,0.5938048371099413,1
29494,blend8,25,235,235,2,38916,0.593820096131838,1
29495,blend8,57,172,172,1,38917,0.5938353551537346,1
29496,blend8,30,180,180,1,38918,0.5938506141756313,1
29497,blend8,32,230,230,2,38919,0.593865873197528,1
29498,blend8,16,183,183,1,38920,0.5938811322194247,1
29499,blend8,139,187,187,4,38921,0.5938963912413214,1
29500,blend8,81,195,195,2,38922,0.5939116502632181,1
29501,blend8,60,208,208,2,38924,0.5939421683070115,2
29502,blend8,136,153,153,1,38925,0.5939574273289082,1
29503,blend8,123,155,155,1,38926,0.5939726863508049,1
29504,blend8,54,214,214,2,38927,0.5939879453727016,1
29505,blend8,6,186,186,1,38928,0.5940032043945983,1
29506,blend8,117,196,196,3,38929,0.594018463416495,1
29507,blend8,0,248,248,2,38930,0.5940337224383917,1
29508,blend8,86,247,247,3,38931,0.5940489814602884,1
29509,blend8,6,187,187,1,38932,0.5940642404821851,1
29510,blend8,39,225,225,2,38933,0.5940794995040818,1
29511,blend8,126,241,241,4,38934,0.5940947585259785,1
29512,blend8,141,151,151,1,38935,0.5941100175478752,1
29513,blend8,28,233,233,2,38936,0.5941252765697719,1
29514,blend8,59,172,172,1,38937,0.5941405355916686,1
29515,blend8,142,153,153,2,38938,0.5941557946135653,1
29516,blend8,75,168,168,1,38939,0.594171053635462,1
29517,blend8,9,185,185,1,38940,0.5941863126573587,1
29518,blend8,49,218,218,2,38941,0.5942015716792554,1
29519,blend8,46,220,220,2,38942,0.594216830701152,1
29520,blend8,84,166,166,1,38943,0.5942320897230488,1
29521,blend8,147,155,155,4,38944,0.5942473487449454,1
29522,blend8,104,161,161,1,38945,0.5942626077668421,1
29523,blend8,102,161,161,1,38946,0.5942778667887388,1
29524,blend8,146,160,160,4,38947,0.5942931258106355,1
