value,normalized_output
0,0.002700064586263702
1,0.002700064586263702
2,0.006789686200692985
3,0.010844921896054412
4,0.014915814203908423
5,0.018966944144245566
6,0.02303063151425052
7,0.027081256402571776
8,0.031151687806313385
9,0.0351911538705493
10,0.039250286942830545
11,0.04329407773569203
12,0.04735294592055235
13,0.051399687559282904
14,0.05545210838431801
15,0.05949359995436589
16,0.06355870358911471
17,0.06758337304201796
18,0.07164072430491447
19,0.0756792915178354
20,0.07972746354863892
21,0.08375979707758749
22,0.08780400286074176
23,0.09184037503990132
24,0.09589895714634704
25,0.09991615853989645
26,0.10393868593652253
27,0.10797125433231765
28,0.11199326608143098
29,0.11601480986276735
30,0.1200395941002197
31,0.12408419544858919
32,0.12814545468390234
33,0.1321502204959976
34,0.13619310890571182
35,0.1401931579557985
36,0.1442096211964016
37,0.14824230084491352
38,0.15227924518090225
39,0.1562716195594468
40,0.16032124317331695
41,0.16433454012628199
42,0.16838988884027634
43,0.1723872572296633
44,0.17639193121411928
45,0.180383611587621
46,0.1843984996310277
47,0.18841863244536863
48,0.19245128030739006
49,0.1964260573316047
50,0.2004591519704094
51,0.2044845260238523
52,0.20842704152611488
53,0.2124296599841845
54,0.21645888373481145
55,0.22042341138175262
56,0.2244986195886515
57,0.22838967452869366
58,0.2325088363883041
59,0.2364112355736262
60,0.24045392620073278
61,0.24439132584393936
62,0.24844086645975097
63,0.25233016607915043
64,0.2564132220173732
65,0.26040688198286727
66,0.26428673748275283
67,0.2682841765087854
68,0.2723003130549027
69,0.27632669014871286
70,0.2803314135788207
71,0.28425972581757347
72,0.2881961806956454
73,0.29219112801400515
74,0.2962133763958812
75,0.3001420347541973
76,0.30413840893279775
77,0.3081244754588921
78,0.3121356338874122
79,0.3160642304386635
80,0.32004082282466956
81,0.3240099277262442
82,0.32794488863926213
83,0.33189919516358796
84,0.3358109095565458
85,0.3398018535430174
86,0.34380775837102256
87,0.3477135551789971
88,0.3517952266389664
89,0.3556256047004562
90,0.35966459396733447
91,0.36354018831157553
92,0.36757574993522707
93,0.3714425164646869
94,0.3754469750073738
95,0.379386864592337
96,0.3834046363767995
97,0.387238721096266
98,0.39128361205488243
99,0.3951414448145926
100,0.39906435864770706
101,0.40294612840068783
102,0.4069096159230228
103,0.4107803487001319
104,0.4148200990768663
105,0.41878908919389185
106,0.42295392117670133
107,0.4266486309648599
108,0.4305584522957162
109,0.4345002649633553
110,0.4385164915711957
111,0.44231939197755527
112,0.4463399009320339
113,0.45024421083861893
114,0.4542424869089016
115,0.45813120907372346
116,0.46194124201537046
117,0.4658814653584839
118,0.46988572788447946
119,0.47381101864071756
120,0.4777106824219397
121,0.48167974847335926
122,0.4855189578814626
123,0.4894468992778261
124,0.49340887694186186
125,0.4972870654169117
126,0.5010437570956496
127,0.5050560280513376
128,0.5088371847322719
129,0.5127779996572922
130,0.5166316807481585
131,0.5207445365212348
132,0.524524578909085
133,0.528533989080627
134,0.5324333314651117
135,0.5364080678732552
136,0.5402527940033782
137,0.544297969274493
138,0.5481045516160035
139,0.5520367135519403
140,0.5559719005022241
141,0.559617883366346
142,0.5636816166501706
143,0.5675933080862186
144,0.571367554737299
145,0.5752383087054018
146,0.5792822990467871
147,0.5831909230865009
148,0.5870191431984682
149,0.5908461942739511
150,0.5946732453494342
151,0.5987216857994909
152,0.602548736874974
153,0.606375787950457
154,0.6104242284005137
155,0.6142512794759967
156,0.6180783305514796
157,0.6219076543610342
158,0.6259538220770194
159,0.6297808749184185
160,0.633610196962057
161,0.6372604374499912
162,0.6410874885254741
163,0.6449145396009572
164,0.6489629800510139
165,0.6527900328924131
166,0.6566170839678961
167,0.6604464060115345
168,0.6642734570870176
169,0.6683196265689189
170,0.6721489486125573
171,0.6759759996880403
172,0.6798030507635233
173,0.6836323745730778
174,0.6874594256485609
175,0.6912864767240439
176,0.6953326462059453
177,0.6991619682495835
178,0.7029890193250665
179,0.7066392598130008
180,0.7104685836225553
181,0.7142956346980384
182,0.7183418041799398
183,0.7221688552554227
184,0.725998177299061
185,0.7298252283745441
186,0.7336522794500271
187,0.7374816014936655
188,0.7413086543350647
189,0.7451357054105476
190,0.7477749712700453
191,0.7526152679421203
192,0.7564423190176033
193,0.7602693700930863
194,0.7640986939026408
195,0.7681448633845421
196,0.7719719144600252
197,0.7758012365036636
198,0.7796282875791466
199,0.7834553386546296
200,0.7872823897301127
201,0.7909349029521183
202,0.7947619540276013
203,0.7985890051030844
204,0.8024183271467227
205,0.8062453782222058
206,0.8092805730756706
207,0.8138994821390879
208,0.8175519935951775
209,0.8213790446706606
210,0.8252060957461436
211,0.829035419555698
212,0.8328624706311811
213,0.8366895217066641
214,0.8405165727821471
215,0.8443458948257855
216,0.8479961353137198
217,0.8518231863892027
218,0.8556502392306018
219,0.8592604428678219
220,0.8633066123497233
221,0.8671336634252063
222,0.8707415960942709
223,0.8743941093162767
224,0.8782211603917597
225,0.8820482114672427
226,0.885877533510881
227,0.889704584586364
228,0.8933548268402144
229,0.8971818779156975
230,0.9006152727312848
231,0.9048382510348189
232,0.9086653021103019
233,0.9120964259577338
234,0.9161448664077906
235,0.9184781272549755
236,0.9235798501523383
237,0.9274069012278212
238,0.9312362250373759
239,0.9350632761128588
240,0.9387135166007929
241,0.942540567676276
242,0.9463698897199144
243,0.9501969425613136
244,0.9536280646428293
245,0.957457386686468
246,0.9612844377619508
247,0.9651114888374339
248,0.9689385416788331
249,0.9725910531349226
250,0.9761989858039872
251,0.9800260368794703
252,0.9838530897208695
253,0.9876824117645079
254,0.991332652252442
255,1.0
