value,normalized_output
0,0.0030231409471814783
1,0.0030231409471814783
2,0.007742609532392557
3,0.012396112119361384
4,0.017058892488107887
5,0.02169957427977
6,0.026350335557001038
7,0.030985786877960612
8,0.035635668867162545
9,0.040253055991406564
10,0.04488697502366836
11,0.04949073964881443
12,0.054107357396032986
13,0.05870742383917429
14,0.06331414313071226
15,0.06789520143557735
16,0.07250046602265542
17,0.07705672969817041
18,0.0816437749200572
19,0.08620672377073466
20,0.09076840541219368
21,0.09531476416667493
22,0.0998648017071015
23,0.10440111976813278
24,0.10895658173985653
25,0.11347755751785059
26,0.11798204664529895
27,0.1224239058967331
28,0.126953874980966
29,0.13146768068231096
30,0.13597914592581373
31,0.14048282041876453
32,0.14500300742367367
33,0.14946205804914744
34,0.1539508363684287
35,0.15842292114586334
36,0.16288795222300564
37,0.16734836703799516
38,0.1718047410072627
39,0.176229854994025
40,0.18073046490958022
41,0.18517626802643905
42,0.18963301052083642
43,0.19405422589964613
44,0.19848618023004658
45,0.20290624477599464
46,0.2073124088126591
47,0.21171040710828856
48,0.21611548496562294
49,0.22049913017724793
50,0.22489321693421852
51,0.22927439238093822
52,0.23363060509912575
53,0.23798593852928424
54,0.24235095705846915
55,0.24669313349495683
56,0.25103649955642504
57,0.2553547283248259
58,0.2596854481555227
59,0.26401202369484694
60,0.2683176902820673
61,0.27262218664036664
62,0.2769149095905704
63,0.28120506579557153
64,0.28553080083898563
65,0.28977674695911165
66,0.29405525259772713
67,0.2983201551333042
68,0.30261041478395584
69,0.3068764875484539
70,0.311152639798521
71,0.3153928123582795
72,0.3196446160883641
73,0.3238756918962333
74,0.3281115197386715
75,0.3323302014645421
76,0.33653045046856744
77,0.34074818825287745
78,0.34494662695801925
79,0.34909848279367806
80,0.3533337869425107
81,0.3574918883093174
82,0.3616874370015989
83,0.3658298210948853
84,0.3700032712100824
85,0.3741299703566144
86,0.37829010184431183
87,0.3824431667010106
88,0.38657002101601834
89,0.390693203010434
90,0.3948208719599392
91,0.39893349603265243
92,0.40308341226236466
93,0.4071706986160627
94,0.4112592069215071
95,0.41532422659893875
96,0.4194716407369799
97,0.42350789605822414
98,0.4275950401741528
99,0.4316572344922556
100,0.43571906028522867
101,0.4397679747679507
102,0.44384069468099013
103,0.44788885918274624
104,0.4519488552807764
105,0.4559750181857454
106,0.46001080153620927
107,0.46401005564134645
108,0.46804587778392936
109,0.4720780340712732
110,0.4760723874387188
111,0.48003807343027427
112,0.48403437286901957
113,0.48800953060294744
114,0.49199073990742853
115,0.49601938550800917
116,0.4999710804753369
117,0.5039179005663856
118,0.5078998469211264
119,0.5118514966309821
120,0.5158361196419291
121,0.5197723365538033
122,0.5237044544317772
123,0.5276365335176321
124,0.5315368935809077
125,0.5354683067353877
126,0.5393667271927167
127,0.5432745676695929
128,0.5468451559298357
129,0.551112987270392
130,0.5551476133226412
131,0.5591320488383468
132,0.5630959116003126
133,0.5670315789571685
134,0.5709398008898808
135,0.5748449323837851
136,0.5787754727155889
137,0.5826664968089086
138,0.5865455599988911
139,0.5904024987503765
140,0.5942427439600154
141,0.59809802111574
142,0.6019308053078377
143,0.6057398745845622
144,0.6095947250269786
145,0.6133100854750722
146,0.6172342186418993
147,0.6210457447528228
148,0.6248484650527489
149,0.6285833185406053
150,0.6323647936900636
151,0.6361485511091857
152,0.6399532950646494
153,0.6436861960158529
154,0.6474439303885253
155,0.6511783636284265
156,0.6549313524318832
157,0.6586411332802037
158,0.6624144038965081
159,0.6661218442869864
160,0.669803630156145
161,0.6734908016644818
162,0.6771744883474682
163,0.6809036652552541
164,0.6845637016763988
165,0.6882429014042953
166,0.6919725114907429
167,0.6956273756293633
168,0.6993069309516834
169,0.7028189107855746
170,0.7065496005859989
171,0.7102088353033523
172,0.713859458170303
173,0.7174917323649993
174,0.721100233456144
175,0.7247323589477178
176,0.7283377308079354
177,0.7319866726830657
178,0.7355708705117001
179,0.7391287672836993
180,0.7427067131158327
181,0.7462640021446352
182,0.7498467000113376
183,0.7533989589953854
184,0.7570002576831154
185,0.7605106405747771
186,0.7641332167397407
187,0.7676561876739956
188,0.7710509829819491
189,0.7746990326383442
190,0.7782567354497486
191,0.7817898893152229
192,0.785243208999937
193,0.7887270904090158
194,0.7923014285740886
195,0.7958087339576485
196,0.7993301661378525
197,0.8027925761091029
198,0.8062959182311787
199,0.8097288397266883
200,0.8132742066442727
201,0.8167081238041682
202,0.8201391574165566
203,0.8235959295998557
204,0.8269777748054394
205,0.8304287475669583
206,0.8338409540709588
207,0.837320064049409
208,0.8407253914176523
209,0.8441068487020467
210,0.8475633816672791
211,0.8509890813633144
212,0.8543461836623734
213,0.8577457504009555
214,0.861138218181773
215,0.864560568824874
216,0.8678608923925242
217,0.8712454595117862
218,0.874599471372037
219,0.877974999927588
220,0.8813169409734981
221,0.8846887778123976
222,0.8881352636188268
223,0.8910514482287623
224,0.8946844206815993
225,0.8979966340337019
226,0.9013040953512352
227,0.9047477170062166
228,0.9080386981385576
229,0.9113190372996051
230,0.9146301774030837
231,0.9179984647631012
232,0.9212107754782499
233,0.9245413375026069
234,0.9277473251023698
235,0.9309782301731929
236,0.9342799955145966
237,0.9375135513802132
238,0.9408122650749277
239,0.9439952877402835
240,0.9471719291020751
241,0.950413650708727
242,0.9536467410689162
243,0.9569626461376705
244,0.9601397336088298
245,0.9633254911185701
246,0.9665549479502865
247,0.9697675366756209
248,0.9729374217433654
249,0.9761234507979383
250,0.9792529662005819
251,0.9824701776534224
252,0.9857335905199096
253,0.9888722156051488
254,0.9919634819785264
255,1.0
