value,normalized_output
0,0.002353727301042857
1,0.002353727301042857
2,0.006570377024932009
3,0.010722169825389708
4,0.014887663971592092
5,0.0190301871476403
6,0.023184262210086577
7,0.027345728225421802
8,0.0314807010854107
9,0.03565985446920301
10,0.03983152231871257
11,0.04385794553824418
12,0.04802877964628929
13,0.05220044749579886
14,0.05637190674798786
15,0.060462566929349155
16,0.06463423477885873
17,0.068740207428748
18,0.07291187463043981
19,0.07700295135862445
20,0.08117399471180786
21,0.08527692002692727
22,0.08937145998888738
23,0.09354291988889415
24,0.09767439647640154
25,0.10174017721647087
26,0.10591184506598043
27,0.10995365071835873
28,0.11410910304137492
29,0.11820343505383223
30,0.12230636036895164
31,0.1264372118123151
32,0.1305360493973329
33,0.13463488633453294
34,0.13871709119841624
35,0.14285223961701962
36,0.14691434917381072
37,0.15102960958700692
38,0.15511160650138742
39,0.15919443650941462
40,0.1633250800032753
41,0.16742412553779587
42,0.17148990692568297
43,0.17554876119820137
44,0.1796469729912575
45,0.18371358747279132
46,0.1878117999136652
47,0.19191042890136245
48,0.19596886597923974
49,0.2000022169619578
50,0.20410126184866065
51,0.20815928302753234
52,0.21218570624706395
53,0.21628391868793784
54,0.22035053316947165
55,0.22440855434834336
56,0.22844190403542589
57,0.23250075895576205
58,0.2365989707488182
59,0.24059296356318077
60,0.24465098409423472
61,0.2487167654821218
62,0.2527431887016534
63,0.25676877882753835
64,0.2608349767622488
65,0.26486098343495706
66,0.26892676482284417
67,0.2729527714955524
68,0.27697877816826066
69,0.2810043682941456
70,0.2850307915136772
71,0.2890563816395621
72,0.29308197176544704
73,0.2971079784381553
74,0.30113398511086353
75,0.3051271435359439
76,0.3091859984562801
77,0.3131467264761914
78,0.31717231660207634
79,0.3211983232747846
80,0.32522432994749284
81,0.32921748902039094
82,0.3332106480932891
83,0.3372370713128207
84,0.3412302303857188
85,0.34525582051160375
86,0.3492493961313252
87,0.35327540280403347
88,0.35718817935292724
89,0.3611489080206563
90,0.3651749140455468
91,0.3692005048192495
92,0.3731616493859842
93,0.37718723951186905
94,0.38110819281660163
95,0.3850935916804843
96,0.3890867507533825
97,0.3930803263731039
98,0.3970008637788308
99,0.40098626199489584
100,0.40494740656163053
101,0.40889995847352084
102,0.4128533428312401
103,0.416878932957125
104,0.4208400775238597
105,0.4247606149295866
106,0.4287460137934693
107,0.4326665505513785
108,0.4373421454757468
109,0.44061309398199594
110,0.4445336307399051
111,0.44845458404463756
112,0.4529102299377399
113,0.4564002943816083
114,0.4602806398775152
115,0.4642413685452443
116,0.4681541457419558
117,0.4726188014845436
118,0.4760362429656052
119,0.4799563638245088
120,0.4841608786260107
121,0.48783028494013725
122,0.49174264559002534
123,0.49631277059959455
124,0.49958413565266707
125,0.5035046730583939
126,0.507425209816303
127,0.5113124824275788
128,0.5152982978382848
129,0.5192590258581962
130,0.5231393720019208
131,0.5270197174978278
132,0.5309804455177392
133,0.5348607910136461
134,0.5388215196813753
135,0.5427018651772821
136,0.5465822106731891
137,0.5504625568169138
138,0.5544232848368252
139,0.5578005357037024
140,0.5621986631530232
141,0.5636292313512193
142,0.5699593547926549
143,0.5738397002885619
144,0.5759989896219523
145,0.5805933695764872
146,0.5840518360610155
147,0.589376603985856
148,0.5932561163881163
149,0.5970716004258674
150,0.6009519459217744
151,0.6047674299595255
152,0.6076407531037262
153,0.6113750208760085
154,0.6163427718954438
155,0.6202231173913508
156,0.624038601429102
157,0.6278532517253886
158,0.6317335972212956
159,0.6356139433650203
160,0.639428593661307
161,0.6432440776990581
162,0.6471244231949651
163,0.6509390741390695
164,0.6539593081005416
165,0.6580661138440775
166,0.6624495539690143
167,0.6663298994649214
168,0.6700650009786681
169,0.6738804850164192
170,0.6776959684063526
171,0.681510619350457
172,0.6853901317527172
173,0.6892056157904685
174,0.6929398835627507
175,0.6958952560660671
176,0.7006357130964088
177,0.7033906669784598
178,0.7081854649064423
179,0.7120009489441934
180,0.7158155992404801
181,0.7195507007542268
182,0.7233653516983313
183,0.7270996194706136
184,0.7309151035083647
185,0.7340814151934615
186,0.7384648553183982
187,0.7421342616325246
188,0.746094989652436
189,0.7481090343558485
190,0.7536447414624695
191,0.7573141477765959
192,0.7601234425562876
193,0.7648638995866294
194,0.7686793836243805
195,0.7717644796918262
196,0.776229135434414
197,0.7796063863012912
198,0.7837788872444474
199,0.7871561387591425
200,0.7909716221490757
201,0.7949331839104515
202,0.798164357053704
203,0.8023360249032137
204,0.8061523420346115
205,0.8096756706251133
206,0.813702093844645
207,0.816867572436095
208,0.8205378118438682
209,0.823849367511125
210,0.8286710408069357
211,0.8319022139501883
212,0.8360755479869912
213,0.839598876577493
214,0.843624466703378
215,0.8467907783884747
216,0.8494531623508949
217,0.8544866079221328
218,0.8578638594368277
219,0.8621824374557908
220,0.8658518437699174
221,0.8688072156254159
222,0.8728993340445678
223,0.8769257572640994
224,0.8803030087787943
225,0.8839724150929208
226,0.8873504990534447
227,0.8911002878915755
228,0.8951924063107275
229,0.8991539674242855
230,0.9024663568330068
231,0.9059896854235088
232,0.9097239538436088
233,0.9128359246310647
234,0.9172088435476686
235,0.92116957156758
236,0.9248389778817064
237,0.9284280016718285
238,0.931870947738326
239,0.9354097973946763
240,0.9397940706132598
241,0.9435438594513907
242,0.9470671880418925
243,0.9506553787383679
244,0.9544708621283013
245,0.9580598859184234
246,0.9615183530507694
247,0.9636258007674593
248,0.969004075848476
249,0.9725922665449513
250,0.976261672859078
251,0.9802232346204538
252,0.9838926402867625
253,0.9874816640768845
254,0.9911510703910111
255,1.0
