name,mode,use_fill16,r16,g16,b16,w16,repeats
gray_q16_14971,fill16,1,14971,14971,14971,0,1
gray_q16_15103,fill16,1,15103,15103,15103,0,1
gray_q16_15234,fill16,1,15234,15234,15234,0,1
gray_q16_15365,fill16,1,15365,15365,15365,0,1
gray_q16_15497,fill16,1,15497,15497,15497,0,1
gray_q16_15628,fill16,1,15628,15628,15628,0,1
gray_q16_15759,fill16,1,15759,15759,15759,0,1
gray_q16_15891,fill16,1,15891,15891,15891,0,1
gray_q16_16022,fill16,1,16022,16022,16022,0,1
gray_q16_16153,fill16,1,16153,16153,16153,0,1
gray_q16_16285,fill16,1,16285,16285,16285,0,1
gray_q16_16416,fill16,1,16416,16416,16416,0,1
gray_q16_16547,fill16,1,16547,16547,16547,0,1
gray_q16_16679,fill16,1,16679,16679,16679,0,1
gray_q16_16810,fill16,1,16810,16810,16810,0,1
gray_q16_16941,fill16,1,16941,16941,16941,0,1
gray_q16_17073,fill16,1,17073,17073,17073,0,1
gray_q16_17204,fill16,1,17204,17204,17204,0,1
gray_q16_17335,fill16,1,17335,17335,17335,0,1
gray_q16_17467,fill16,1,17467,17467,17467,0,1
gray_q16_17598,fill16,1,17598,17598,17598,0,1
gray_q16_17729,fill16,1,17729,17729,17729,0,1
gray_q16_17861,fill16,1,17861,17861,17861,0,1
gray_q16_17992,fill16,1,17992,17992,17992,0,1
gray_q16_18123,fill16,1,18123,18123,18123,0,1
gray_q16_18255,fill16,1,18255,18255,18255,0,1
gray_q16_18386,fill16,1,18386,18386,18386,0,1
gray_q16_18517,fill16,1,18517,18517,18517,0,1
gray_q16_18649,fill16,1,18649,18649,18649,0,1
gray_q16_18780,fill16,1,18780,18780,18780,0,1
gray_q16_18911,fill16,1,18911,18911,18911,0,1
gray_q16_19043,fill16,1,19043,19043,19043,0,1
gray_q16_19174,fill16,1,19174,19174,19174,0,1
gray_q16_19305,fill16,1,19305,19305,19305,0,1
gray_q16_19437,fill16,1,19437,19437,19437,0,1
gray_q16_19568,fill16,1,19568,19568,19568,0,1
gray_q16_19699,fill16,1,19699,19699,19699,0,1
gray_q16_19831,fill16,1,19831,19831,19831,0,1
gray_q16_19962,fill16,1,19962,19962,19962,0,1
gray_q16_20093,fill16,1,20093,20093,20093,0,1
gray_q16_20225,fill16,1,20225,20225,20225,0,1
gray_q16_20356,fill16,1,20356,20356,20356,0,1
gray_q16_20487,fill16,1,20487,20487,20487,0,1
gray_q16_20619,fill16,1,20619,20619,20619,0,1
gray_q16_20750,fill16,1,20750,20750,20750,0,1
