name,mode,use_fill16,r16,g16,b16,w16
sparse_cyanteal_r0.00g0.65b0.85_4096_w30,fill16,1,0,2662,3481,1228
sparse_cyanteal_r0.00g0.65b0.85_4096_w45,fill16,1,0,2662,3481,1843
sparse_cyanteal_r0.00g0.65b0.85_4096_w60,fill16,1,0,2662,3481,2457
sparse_cyanteal_r0.00g0.40b1.00_8192_w0,fill16,1,0,3276,8192,0
sparse_cyanteal_r0.00g0.40b1.00_8192_w8,fill16,1,0,3276,8192,655
sparse_cyanteal_r0.00g0.40b1.00_8192_w18,fill16,1,0,3276,8192,1474
sparse_cyanteal_r0.00g0.40b1.00_8192_w30,fill16,1,0,3276,8192,2457
sparse_cyanteal_r0.00g0.40b1.00_8192_w45,fill16,1,0,3276,8192,3686
sparse_cyanteal_r0.00g0.40b1.00_8192_w60,fill16,1,0,3276,8192,4915
sparse_cyanteal_r0.00g0.55b1.00_8192_w0,fill16,1,0,4505,8192,0
sparse_cyanteal_r0.00g0.55b1.00_8192_w8,fill16,1,0,4505,8192,655
sparse_cyanteal_r0.00g0.55b1.00_8192_w18,fill16,1,0,4505,8192,1474
sparse_cyanteal_r0.00g0.55b1.00_8192_w30,fill16,1,0,4505,8192,2457
sparse_cyanteal_r0.00g0.55b1.00_8192_w45,fill16,1,0,4505,8192,3686
sparse_cyanteal_r0.00g0.55b1.00_8192_w60,fill16,1,0,4505,8192,4915
sparse_cyanteal_r0.00g0.70b1.00_8192_w0,fill16,1,0,5734,8192,0
sparse_cyanteal_r0.00g0.70b1.00_8192_w8,fill16,1,0,5734,8192,655
sparse_cyanteal_r0.00g0.70b1.00_8192_w18,fill16,1,0,5734,8192,1474
sparse_cyanteal_r0.00g0.70b1.00_8192_w30,fill16,1,0,5734,8192,2457
sparse_cyanteal_r0.00g0.70b1.00_8192_w45,fill16,1,0,5734,8192,3686
sparse_cyanteal_r0.00g0.70b1.00_8192_w60,fill16,1,0,5734,8192,4915
sparse_cyanteal_r0.00g0.85b1.00_8192_w0,fill16,1,0,6963,8192,0
sparse_cyanteal_r0.00g0.85b1.00_8192_w8,fill16,1,0,6963,8192,655
sparse_cyanteal_r0.00g0.85b1.00_8192_w18,fill16,1,0,6963,8192,1474
sparse_cyanteal_r0.00g0.85b1.00_8192_w30,fill16,1,0,6963,8192,2457
sparse_cyanteal_r0.00g0.85b1.00_8192_w45,fill16,1,0,6963,8192,3686
sparse_cyanteal_r0.00g0.85b1.00_8192_w60,fill16,1,0,6963,8192,4915
sparse_cyanteal_r0.00g1.00b1.00_8192_w0,fill16,1,0,8192,8192,0
sparse_cyanteal_r0.00g1.00b1.00_8192_w8,fill16,1,0,8192,8192,655
sparse_cyanteal_r0.00g1.00b1.00_8192_w18,fill16,1,0,8192,8192,1474
sparse_cyanteal_r0.00g1.00b1.00_8192_w30,fill16,1,0,8192,8192,2457
sparse_cyanteal_r0.00g1.00b1.00_8192_w45,fill16,1,0,8192,8192,3686
sparse_cyanteal_r0.00g1.00b1.00_8192_w60,fill16,1,0,8192,8192,4915
sparse_cyanteal_r0.00g1.00b0.80_8192_w0,fill16,1,0,8192,6553,0
sparse_cyanteal_r0.00g1.00b0.80_8192_w8,fill16,1,0,8192,6553,655
sparse_cyanteal_r0.00g1.00b0.80_8192_w18,fill16,1,0,8192,6553,1474
sparse_cyanteal_r0.00g1.00b0.80_8192_w30,fill16,1,0,8192,6553,2457
sparse_cyanteal_r0.00g1.00b0.80_8192_w45,fill16,1,0,8192,6553,3686
sparse_cyanteal_r0.00g1.00b0.80_8192_w60,fill16,1,0,8192,6553,4915
sparse_cyanteal_r0.00g1.00b0.60_8192_w0,fill16,1,0,8192,4915,0
sparse_cyanteal_r0.00g1.00b0.60_8192_w8,fill16,1,0,8192,4915,655
sparse_cyanteal_r0.00g1.00b0.60_8192_w18,fill16,1,0,8192,4915,1474
sparse_cyanteal_r0.00g1.00b0.60_8192_w30,fill16,1,0,8192,4915,2457
sparse_cyanteal_r0.00g1.00b0.60_8192_w45,fill16,1,0,8192,4915,3686
sparse_cyanteal_r0.00g1.00b0.60_8192_w60,fill16,1,0,8192,4915,4915
sparse_cyanteal_r0.05g0.60b1.00_8192_w0,fill16,1,409,4915,8192,0
sparse_cyanteal_r0.05g0.60b1.00_8192_w8,fill16,1,409,4915,8192,655
sparse_cyanteal_r0.05g0.60b1.00_8192_w18,fill16,1,409,4915,8192,1474
sparse_cyanteal_r0.05g0.60b1.00_8192_w30,fill16,1,409,4915,8192,2457
sparse_cyanteal_r0.05g0.60b1.00_8192_w45,fill16,1,409,4915,8192,3686
sparse_cyanteal_r0.05g0.60b1.00_8192_w60,fill16,1,409,4915,8192,4915
sparse_cyanteal_r0.05g0.80b1.00_8192_w0,fill16,1,409,6553,8192,0
sparse_cyanteal_r0.05g0.80b1.00_8192_w8,fill16,1,409,6553,8192,655
sparse_cyanteal_r0.05g0.80b1.00_8192_w18,fill16,1,409,6553,8192,1474
sparse_cyanteal_r0.05g0.80b1.00_8192_w30,fill16,1,409,6553,8192,2457
sparse_cyanteal_r0.05g0.80b1.00_8192_w45,fill16,1,409,6553,8192,3686
sparse_cyanteal_r0.05g0.80b1.00_8192_w60,fill16,1,409,6553,8192,4915
sparse_cyanteal_r0.08g1.00b0.70_8192_w0,fill16,1,655,8192,5734,0
sparse_cyanteal_r0.08g1.00b0.70_8192_w8,fill16,1,655,8192,5734,655
sparse_cyanteal_r0.08g1.00b0.70_8192_w18,fill16,1,655,8192,5734,1474
sparse_cyanteal_r0.08g1.00b0.70_8192_w30,fill16,1,655,8192,5734,2457
sparse_cyanteal_r0.08g1.00b0.70_8192_w45,fill16,1,655,8192,5734,3686
sparse_cyanteal_r0.08g1.00b0.70_8192_w60,fill16,1,655,8192,5734,4915
